id,key,subject,sender,recipient,date,msg,tags,concepts,class
21,odbc://SAS_1970s/dbo.SAS_Docs/1557164,EROSION OF POSITION OF FOREIGN MINISTER,BUJUMBURA,STATE,30-Aug-74,,"PINT, BY, (SIMBANANIYE, ARTEMON)","CABINET, PERSONNEL RESIGNATIONS, REORGANIZATIONS",CONFIDENTIAL
22,odbc://SAS_1970s/dbo.SAS_Docs/1513757,ANTI-REGIME TRACT,BUJUMBURA,STATE,19-Aug-74,,"PINT, PINS, PGOV, BY, (MICOMBERO)",GOVERNMENT OVERTHROW,CONFIDENTIAL
23,odbc://SAS_1970s/dbo.SAS_Docs/1416191,,TEL AVIV,STATE,27-Aug-74,,"PFOR, PREL, SY, IS, XF, US",,SECRET
24,odbc://SAS_1970s/dbo.SAS_Docs/1538636,,SEOUL,STATE,15-Aug-74,,"PINS, KS, (PARK CHUNG HEE)","ASSASSINATION, HEALTH, SURGERY",LIMITED OFFICIAL USE
25,odbc://SAS_1970s/dbo.SAS_Docs/1664815,,NICOSIA,STATE,2-Aug-74,,"OGEN, MARR, ACOM, CY, USAF","COMMUNICATIONS SECURITY, MILITARY PLANS",SECRET
26,odbc://SAS_1970s/dbo.SAS_Docs/1473951,,LA PAZ,STATE,22-Aug-74,,"PINR, BL","DATA, HOUSING, COSTS, REPORTS, MAINTENANCE PERSONNEL, CONTRACTS",SECRET
27,odbc://SAS_1970s/dbo.SAS_Docs/1605676,,STATE,NICOSIA,8-Aug-74,,"OGEN, MARR, ACOM, CY",n/a,SECRET
28,odbc://SAS_1970s/dbo.SAS_Docs/1668530,,MANILA,STATE,29-Aug-74,,"MARR, MOPS, RP, US, USAF, PHILIPPINE AIR FORCE, (MELCHOR, ALEXANDER)",,SECRET
29,odbc://SAS_1970s/dbo.SAS_Docs/1432034,,STATE,MANILA,26-Aug-74,,"MARR, MOPS, RP, US, (MELCHOR, ALEXANDER)",,SECRET
30,odbc://SAS_1970s/dbo.SAS_Docs/1432167,PHOTOGRAPHS OF MALDIVES,STATE,COLOMBO,26-Aug-74,,"PINR, MV, CIA, GAO","INTELLIGENCE COLLECTION, PHOTOGRAPHS",CONFIDENTIAL
31,odbc://SAS_1970s/dbo.SAS_Docs/1400143,EMBASSY SAIGON NORTH VIET-NAM BI-WEEKLY #16 BANGKOK ALSO PASS OSA:  DEPT ALSO FOR AID/W: CINCPAC FOR POLAD,SAIGON,STATE,31-Aug-74,,"PFOR, MILI, EGEN, PGOV, PINR, VN",EMB SAIGON NORTH VIET-NAM BI-WEEKLY,SECRET
32,odbc://SAS_1970s/dbo.SAS_Docs/1654604,EMBASSY SAIGON NORTH VIET-NAM BI-WEEKLY NO14 BANGKOK ALSO PASS OSA;  DEPT ALSO FOR AID/W; CINCPAC FOR POLAD;,SAIGON,STATE,3-Aug-74,,"PFOR, MILI, EGEN, PGOV, PINR, VN","BI-WEEKLY REPORT, POLITICAL SUMMARIES",SECRET
33,odbc://SAS_1970s/dbo.SAS_Docs/1638031,EXCELSIOR EDITORIAL ON CIA,MEXICO,STATE,6-Aug-74,,"PINR, MX, US, CIA, EXCELSIOR, (AGEE, PHILIP)","PRESS COMMENTS, INTERVENTION, INTELLIGENCE COLLECTION, FOREIGN POLICY  POSITION",LIMITED OFFICIAL USE
34,odbc://SAS_1970s/dbo.SAS_Docs/1542270,"ALLEGATIONS CONCERNING MEXICAN ""CIA AGENTS""",MEXICO,STATE,15-Aug-74,,"PINR, MX, US, CIA, (RUBIO FELIX, LAZARO)","INFILTRATION, ALLEGATIONS, PARTY LEADERS, INVESTIGATIONS",LIMITED OFFICIAL USE
35,odbc://SAS_1970s/dbo.SAS_Docs/1517366,EMBASSY SAIGON NORTH VIET-NAM BI-WEEKLY NR. 15 BANGKOK ALSO PASS OSA:  DEPT ALSO FOR AID/W: CINCPAC FOR POLAD,SAIGON,STATE,17-Aug-74,,"PFOR, MILI, EGEN, PGOV, PINR, VN","VIETNAM BI-WEEKLY, POLITICAL SUMMARIES",SECRET
36,odbc://SAS_1970s/dbo.SAS_Docs/1604076,KHMER PERM REP KHMER PERM REP CHHUT CHHOEUR REQUESTED THAT FOLLOWING,USUN NEW YORK,PHNOM PENH,8-Aug-74,,"PFOR, CB, UN, (CHHOEUR, CHHUT)",DIPLOMATIC COMMUNICATIONS,CONFIDENTIAL
37,odbc://SAS_1970s/dbo.SAS_Docs/1685842,GREEK WITHDRAWAL FROM NATO: PRELIMINARY ASSESSMENT,NATO,"STATE
SECDEF INFO ATHENS
ANKARA
USNMR SHAPE",22-Aug-74,,"PFOR, MCAP, NATO, GR",n/a,SECRET
38,odbc://SAS_1970s/dbo.SAS_Docs/1402458,ECONADS: RELEASE OF JIC DOCUMENT TO NATO ECONOMIC COMMITTEE,STATE,NATO BRUSSELS,31-Aug-74,,"ETRD, EEWT, ENRG, PINR, UR, XH, NATO","DOCUMENTS, PETROLEUM, IMPORTS, COMMITTEES, ECONOMIC REPORTS",CONFIDENTIAL
39,odbc://SAS_1970s/dbo.SAS_Docs/1418131,ER PUBLICATION PRC FOREIGN TRADE,STATE,HONG KONG,27-Aug-74,,"EEWT, ETRD, CH, HK","TRADE, PUBLICATIONS, PUBLICATIONS PROCUREMENT",UNCLASSIFIED
40,odbc://SAS_1970s/dbo.SAS_Docs/1427419,,STATE,RUEHCR,26-Aug-74,,"PREL, SY, IS, US",,CONFIDENTIAL
41,odbc://SAS_1970s/dbo.SAS_Docs/1570598,,STATE,DAMASCUS TEL AVIV,12-Aug-74,,"PREL, SY, IS, US",,SECRET
42,odbc://SAS_1970s/dbo.SAS_Docs/1535574,,STATE,CAIRO TEL AVIV,15-Aug-74,,"PREL, EG, US, IS",,SECRET
43,odbc://SAS_1970s/dbo.SAS_Docs/1539158,OPIC COVERAGE: SOCOMET LOAN TO CARBURO Y METALURGIA,STATE,SANTIAGO,15-Aug-74,,"EINV, EFIN, CI, OPIC, SOCOMET, CARBURO Y METALURGIA","DEBT REPAYMENTS, BANK LOANS",LIMITED OFFICIAL USE
44,odbc://SAS_1970s/dbo.SAS_Docs/1548602,SITUATION REPORT NO. 1,STATE,ANKARA MULTIPLE,14-Aug-74,,"PFOR, CY, TU, GR, NATO","WITHDRAWAL OF MEMBERSHIP, SITREP 1, GROUND COMBAT OPERATIONS, UNSC  RESOLUTIONS",SECRET
45,odbc://SAS_1970s/dbo.SAS_Docs/1560339,TURKEY OPIUM POPPY CONTROL,STATE,ANKARA,13-Aug-74,,"SNAR, TU, US","AGRICULTURAL PRODUCTION, DRUG CONTROL, OPIUM, NEGOTIATIONS,  AGRICULTURAL LAW",CONFIDENTIAL
46,odbc://SAS_1970s/dbo.SAS_Docs/1564355,MBFR: WG PAPER ON IMPLICATIONS OF REVISED ALLIED DATA,STATE,NATO BRUSSELS,13-Aug-74,,"PARM, NATO, MBFR","DATA, PAPERS, MUTUAL FORCE REDUCTIONS, NEGOTIATIONS, AMENDMENTS",SECRET
47,odbc://SAS_1970s/dbo.SAS_Docs/1583277,,STATE,DAMASCUS TEL AVIV,10-Aug-74,,"PREL, SY, US, IS",,SECRET
48,odbc://SAS_1970s/dbo.SAS_Docs/1607230,FBIS,STATE,NICOSIA,8-Aug-74,,"AEMR, AFIN, CY",n/a,UNCLASSIFIED
49,odbc://SAS_1970s/dbo.SAS_Docs/1616667,CIA DIRECTOR'S TESTIMONY ON INDIAN OCEAN,STATE,ABU DHABI MULTIPLE,7-Aug-74,,"MARR, MCAP, XO, US, UR, (COLBY, WILLIAM)","NAVAL FORCES, MILITARY BASES, US CONGRESSIONAL HEARINGS, DIEGO GARCIA",LIMITED OFFICIAL USE
50,odbc://SAS_1970s/dbo.SAS_Docs/1401028,FOUNDING OF A NEW POLITICAL PARTY,MEXICO,STATE,31-Aug-74,,"PINT, MX, (CASTILLO MARTINEZ, HEBERTO)","PRESS COMMENTS, PARTY LINE, POLITICAL PARTIES",SECRET
51,odbc://SAS_1970s/dbo.SAS_Docs/1665652,BIOGRAPHIC INFORMATION ON FRELIMO LEADERSHIP,LOURENCO MARQUES,STATE,2-Aug-74,,"PINR, PINS, MZ, FRELIMO","BIOGRAPHIC INFORMATION, PARAMILITARY FORCES",CONFIDENTIAL
52,odbc://SAS_1970s/dbo.SAS_Docs/1669672,GOM POSITION ON KOREA IN 29TH UNGA,KUALA LUMPUR,STATE,29-Aug-74,,"PFOR, MY, KS, UN, UNGA","MEETING AGENDA, TROOP DEPLOYMENT, TERRITORIAL UNIFICATION,  INTERNATIONAL ORGANIZATIONS, MEETINGS, MEMBER ADMISSIONS, FOREIGN POLICY POSITION",CONFIDENTIAL
53,odbc://SAS_1970s/dbo.SAS_Docs/1556132,ASEAN CONSULTATIONS ON KHMER ISSUE AT 29TH UNGA,KUALA LUMPUR,STATE PHNOM PENH,14-Aug-74,,"PFOR, CB, UN, ASEAN","FOREIGN POLICY POSITION, NEGOTIATIONS, PEACE PLANS, UNGA RESOLUTIONS",CONFIDENTIAL
54,odbc://SAS_1970s/dbo.SAS_Docs/1540701,CHIANG CHING'S ELUSIVE IMAGE,HONG KONG,STATE,15-Aug-74,,"PINT, CH, (CHIANG CHING)","ARTS, PRESS COMMENTS, POLITICAL LEADERS, SOCIAL CHANGE, FOREIGN  POLICY POSITION",CONFIDENTIAL
55,odbc://SAS_1970s/dbo.SAS_Docs/1490903,WEEKLY REVIEW OF THE PEOPLE'S REPUBLIC OF CHINA NO.34 TABLE OF  CONTENTS,HONG KONG,STATE,21-Aug-74,,"PINT, PFOR, CH","WEEKLY REVIEW, POLITICAL SUMMARIES",SECRET
56,odbc://SAS_1970s/dbo.SAS_Docs/1459535,NEW PARTY FIRST SECRETARY FOR KWEICHOW,HONG KONG,STATE,23-Aug-74,,"PINT, CH, (LU JUI-LIN)","POLITICAL LEADERS, POLITICAL SITUATION, PARTY MEETINGS",CONFIDENTIAL
57,odbc://SAS_1970s/dbo.SAS_Docs/1598207,PEOPLE'S REPUBLIC OF CHINA-- ECONOMIC REVIEW 16,HONG KONG,STATE PEKING,9-Aug-74,,"ECRP, CH, XX, PK, SZ","FAMILY PLANNING, PETROLEUM, COTTON, CERP 0003, ECONOMIC REPORTS, OIL  FIELDS, TRADE FAIRS, TRADE AGREEMENTS, EXPORT DATA, IMPORT DATA, RETAIL PRICES",SECRET
58,odbc://SAS_1970s/dbo.SAS_Docs/1416158,,DAMASCUS,STATE,27-Aug-74,,"PREL, SY, IS, US",,SECRET
59,odbc://SAS_1970s/dbo.SAS_Docs/1570618,,DAMASCUS,STATE,12-Aug-74,,"PFOR, PREL, SY, IS, US",,SECRET
60,odbc://SAS_1970s/dbo.SAS_Docs/1478546,,CAIRO,STATE,21-Aug-74,,"PREL, EG, US, IS",,SECRET
61,odbc://SAS_1970s/dbo.SAS_Docs/1504347,STATUS OF LAO NATIONAL ASSEMBLY,VIENTIANE,STATE,19-Aug-74,,"PINT, LA, (PHOUI SANANIKONE)","COALITION GOVERNMENT, CONSTITUTION, CENTRAL LEGISLATURE, POLITICAL  SITUATION, POLITICAL LEADERS, PRESS CONFERENCES",SECRET
62,odbc://SAS_1970s/dbo.SAS_Docs/1586336,PGUN LAO RELATIONS WITH GVN AND GKR,VIENTIANE,STATE,9-Aug-74,,"PFOR, CB, VS, LA, PRG, GRUNK","RECOGNITION, COALITION GOVERNMENT, PROVINCIAL GOVERNMENT, RADIO  BROADCASTING, NEUTRALISM",SECRET
63,odbc://SAS_1970s/dbo.SAS_Docs/1601989,INITIAL REACTION TO REPORTED APPOINTMENT OF PHOUMI VONGVICHIT AS  ACTING PRIME MINISTER,VIENTIANE,STATE,8-Aug-74,,"PGOV, PINR, LA, (PHOUMI VONGVICHIT)","PRIME MINISTER, GOVERNMENT OVERTHROW, PERSONNEL ASSIGNMENTS, PUBLIC  ATTITUDES, POLITICAL SITUATION",SECRET
64,odbc://SAS_1970s/dbo.SAS_Docs/1642817,LAO POSITION ON CAMBODIAN ISSUE AT LOS,VIENTIANE,STATE,5-Aug-74,,"PLOS, PFOR, CB, LA","LAW OF THE SEA, MEETING VOTING RECORDS, FOREIGN POLICY POSITION",SECRET
65,odbc://SAS_1970s/dbo.SAS_Docs/1504303,GREEK-FRENCH RELATIONS,ATHENS,STATE,20-Aug-74,,"MASS, GR, FR","MILITARY ASSISTANCE, MILITARY AIRCRAFT, INTERGOVERNMENTAL COOPERATION",SECRET
66,odbc://SAS_1970s/dbo.SAS_Docs/1590413,,STATE,MANILA,9-Aug-74,,"MARR, MOPS, RP, US",,CONFIDENTIAL
67,odbc://SAS_1970s/dbo.SAS_Docs/1632985,USG RESPONSE TO PAKISTANI CHARGES OF LTBT VIOLATIONS,STATE,MOSCOW HONG KONG,6-Aug-74,,"PFOR, TECH, PARM, PK, IN","UNDERGROUND NUCLEAR TESTS, RADIOACTIVE WASTES, NUCLEAR HAZARDS",SECRET
68,odbc://SAS_1970s/dbo.SAS_Docs/1551513,,MANILA,STATE,14-Aug-74,,"MARR, MOPS, RP, US",,CONFIDENTIAL
69,odbc://SAS_1970s/dbo.SAS_Docs/1688148,THE TREND OF EVENTS: THE EMPEROR AND THE MONARCHY,ADDIS ABABA,STATE,29-Aug-74,,"PINS, PINT, PGOV, ET","GOVERNMENT REFORM, ARMED FORCES, POLITICAL SITUATION, MONARCHY",CONFIDENTIAL
70,odbc://SAS_1970s/dbo.SAS_Docs/1545398,AFCC TAKES CONTROL OF MINPEN,ADDIS ABABA,STATE,15-Aug-74,,"PINS, PINT, ET, AFCC","INTERIM GOVERNMENT, POLITICAL STABILITY, CABINET",CONFIDENTIAL
71,odbc://SAS_1970s/dbo.SAS_Docs/1517930,NORTH KOREA'S MILITARY AND STRATEGIC INTENTIONS FOR AMBASSADOR HABIB  FROM EA-SNEIDER,STATE,SEOUL,16-Aug-74,,"PINR, MILI","INTELLIGENCE COLLECTION, INFORMATION CONTROL",SECRET
72,odbc://SAS_1970s/dbo.SAS_Docs/1399480,SOVIET MILITARY AID TO ETHIOPIA,MOGADISCIO,STATE,31-Aug-74,,"PFOR, US, ET, SO, UR","MILITARY ASSISTANCE, ARMED FORCES, GOVERNMENT REACTIONS, POLITICAL  SITUATION",SECRET
73,odbc://SAS_1970s/dbo.SAS_Docs/1660353,PRC AMBASSADORS,STATE,ALL POSTS BAGHDAD,2-Aug-74,,"PFOR, CH, XX","INSTRUCTIONS, REPORTS, AMBASSADORS",LIMITED OFFICIAL USE
74,odbc://SAS_1970s/dbo.SAS_Docs/1570022,"BIO MATERIAL ON GABRIEL VAN LAETHEM, FRENCH AMBASSADOR TO AUSTRALIA",CANBERRA,STATE,13-Aug-74,,"PDIP, AS, FR, (VAN LAETHEM, GABRIEL)","BIOGRAPHIC INFORMATION, AMBASSADORS",CONFIDENTIAL
75,odbc://SAS_1970s/dbo.SAS_Docs/1493520,MARCOS KASSANGA NOFORN,STATE,LUANDA,20-Aug-74,,"PINS, PINT, AO, (KASSANGA, MARCOS)","BIOGRAPHIC INFORMATION, POLITICAL LEADERS, BUSINESS FIRMS",SECRET
76,odbc://SAS_1970s/dbo.SAS_Docs/1488177,PLBRL BIO DATA SHEETS,LAGOS,STATE,21-Aug-74,,"PINR, NI","PERSONNEL, BIOGRAPHIC INFORMATION, REPORTS",LIMITED OFFICIAL USE
77,odbc://SAS_1970s/dbo.SAS_Docs/1465265,BIOGRAPHIC INFORMATION ON AMBASSADOR-DESIGNATE VAN CAUWENBERG,BRUSSELS,STATE,23-Aug-74,,"PINR, US, BE, (VAN CAUWENBERG, WILLY)","AMBASSADOR DESIGNATE, BIOGRAPHIC INFORMATION",CONFIDENTIAL
78,odbc://SAS_1970s/dbo.SAS_Docs/1427030,SOUNDINGS BY PAPANDREOU SUMMARY. ANDREAS PAPANDREOU HAS MET WITH ABOUT  TWENTY,ATHENS,STATE,27-Aug-74,,"PINT, GR, UR, (HAMDI)","MILITARY ASSISTANCE, MILITARY BUILDUP, ARMED FORCES, ARMS, VISITS",CONFIDENTIAL
79,odbc://SAS_1970s/dbo.SAS_Docs/1402299,ANTI-IRANIAN PROPOGANDA,BAGHDAD,STATE,31-Aug-74,,"PFOR, IZ, IR","PROPAGANDA, NEWSPAPERS",UNCLASSIFIED
80,odbc://SAS_1970s/dbo.SAS_Docs/1563594,REQUEST FOR MAP OF EASTERN EUROPE REQUEST LARGE-SIZED MAP OF EASTERN  EUROPE FOR USE IN,THE HAGUE,STATE,13-Aug-74,,"EEWT, NL","MAPS, EAST WEST TRADE, PUBLICATIONS PROCUREMENT",UNCLASSIFIED
81,odbc://SAS_1970s/dbo.SAS_Docs/1400775,AFCC WARNS ARISTOCRATS AND OTHER REACTIONARIES,ADDIS ABABA,STATE,31-Aug-74,,"PINS, PINT, ET","GOVERNMENT OVERTHROW, NEWS MEDIA COMMENTS, EXTREMISTS, CENTRAL  GOVERNMENT",LIMITED OFFICIAL USE
82,odbc://SAS_1970s/dbo.SAS_Docs/1612902,"""THE PERILS OF YIGEZU"" INTERPRETED",ADDIS ABABA,STATE,8-Aug-74,,"PINS, PINT, ET, AFCC, (YIGEZU), (TEKLE, TEFERRA)","MILITARY PERSONNEL, PARAMILITARY FORCES, ARRESTS, POLITICAL LEADERS",SECRET
83,odbc://SAS_1970s/dbo.SAS_Docs/1570692,SURRENDERS AND ARRESTS,ADDIS ABABA,STATE,13-Aug-74,,"PINS, PINT, ET, (RETTA, BLATTA ADMASSU)","SURRENDER, PRESS COMMENTS, MEDICAL CARE, DETENTION, ARRESTS,  POLITICAL PRISONERS",CONFIDENTIAL
84,odbc://SAS_1970s/dbo.SAS_Docs/1615133,CONGO AND KOREAN VETERANS RESUME PRESSURE FOR BACK PAY,ADDIS ABABA,STATE,8-Aug-74,,"PINT, ET, CG, KS, UN","WAGES, PUBLIC DEMONSTRATIONS, VETERANS GROUPS, PERSONNEL ALLOWANCES",CONFIDENTIAL
85,odbc://SAS_1970s/dbo.SAS_Docs/1463141,INTERNAL DEVELOPMENTS,ADDIS ABABA,STATE,23-Aug-74,,"PINS, PINT, ET","POLITICAL STABILITY, LAW, CORRUPTION, MONARCHY, POLITICAL LEADERS",CONFIDENTIAL
86,odbc://SAS_1970s/dbo.SAS_Docs/1506512,MINISTER OF COMMERCE AND INDUSTRY COMMENTS ON CURRENT ETHIOPIAN SCENE,ADDIS ABABA,STATE,20-Aug-74,,"PINS, PINT, PGOV, MASS, ET, US, AFCC, (HAILE SELASSIE I), (MOHAMED  ABDURRAHMAN)","CABINET, INTERIM GOVERNMENT, MILITARY ASSISTANCE, VETERANS GROUPS,  EMPEROR, DIPLOMATIC DISCUSSIONS, PERSONNEL RESIGNATIONS",CONFIDENTIAL
87,odbc://SAS_1970s/dbo.SAS_Docs/1462626,US-ETHIOPIAN BILATERAL RELATIONS AND MILITARY ASSISTANCE,ADDIS ABABA,STATE,23-Aug-74,,"PFOR, MASS, ET, US, UR, CH, SO, EG, (AYELE MOLTOTAL)","MILITARY ASSISTANCE, ARMS, ARMED FORCES, FOREIGN RELATIONS",CONFIDENTIAL
88,odbc://SAS_1970s/dbo.SAS_Docs/1426199,SOVIET OFFER OF LARGE-SCALE MILITARY AND ECONOMIC ASSISTANCE TO  ETHIOPIA,ADDIS ABABA,STATE,27-Aug-74,,"PFOR, UR, ET, US","PRESS COMMENTS, PEACE, MILITARY ASSISTANCE, MILITARY PLANS",SECRET
89,odbc://SAS_1970s/dbo.SAS_Docs/1410229,"ADDITIONAL BIOGRAPHIC INFORMATION ON NIKOLA MILICEVIC, NEW FSFA ASST  SECRETARY FOR NORTH",STATE,BELGRADE,28-Aug-74,,"PINR, (MILICEVIC, NIKOLA)","BIOGRAPHIC INFORMATION, PERSONNEL APPOINTMENTS",SECRET
90,odbc://SAS_1970s/dbo.SAS_Docs/1406836,TANCE) DESIRED DISTRIBUTION,STATE,MOSCOW THE HAGUE,28-Aug-74,,"PINR, (TAMMENOMS BAKKER, ROBERT)","AMBASSADOR DESIGNATE, BIOGRAPHIC INFORMATION, INVESTIGATIONS",CONFIDENTIAL
91,odbc://SAS_1970s/dbo.SAS_Docs/1453892,REQUEST FOR BIOGRAPHIC INFORMATION ON JUSTICE ROBERT MARSDEN HOPE,STATE,CANBERRA,23-Aug-74,,"PINR, AS, (HOPE, ROBERT M)",BIOGRAPHIC INFORMATION,CONFIDENTIAL
92,odbc://SAS_1970s/dbo.SAS_Docs/1455821,DETAIL OF BIOGRAPHIC OFFICER TO ASSIST POST IN BIOGRAPHIC WORK,STATE,SAIGON,23-Aug-74,,"PINR, APER, AFSP, VS",n/a,LIMITED OFFICIAL USE
93,odbc://SAS_1970s/dbo.SAS_Docs/1605612,INFORMATION ON CLAUDE LUSSAN,STATE,SANTIAGO,8-Aug-74,,"PINR, PINS, CI, FR, (CORVALAN, LUIS), (LASSAN, CLAUDE)","BIOGRAPHIC INFORMATION, POLITICAL PRISONERS, POLITICAL TRIALS,  ATTORNEYS",LIMITED OFFICIAL USE
94,odbc://SAS_1970s/dbo.SAS_Docs/1645319,NORTH KOREAN MILITARY ASSISTANCE TO ZAIRE,STATE,KINSHASA,5-Aug-74,,"PINR, MASS, CG, KN",MILITARY ASSISTANCE,SECRET
95,odbc://SAS_1970s/dbo.SAS_Docs/1588146,ISRAELI MOBILIZATION,STATE,NATO BRUSSELS,9-Aug-74,,"PINR, MARR, EG, IS, SY, UK, NATO","MOBILIZATION, MILITARY ASSISTANCE, ARMS, PRESS COMMENTS, MILITARY  PLANS, MEETINGS",CONFIDENTIAL
96,odbc://SAS_1970s/dbo.SAS_Docs/1650378,CYPRUS: GREEK MINISTER DEFENSE SUSPECTS IMMINENT TURKISH MILITARY  OPERATIONS MIGHT BE LAUNCHED,STATE,ATHENS,4-Aug-74,,"PINR, MOPS, GR, CY, TU, (AVEROFF)","ARMED FORCES, POLITICAL STABILITY, COMBAT OPERATIONS",SECRET
97,odbc://SAS_1970s/dbo.SAS_Docs/1400821,CONTRACT FOR AIR SUPPORT OF GKR. (NOTE: THE FOLLOWING COMMENTS ON THE  BIRD CONTRACT HAD,BANGKOK,STATE,31-Aug-74,,"EAIR, MASS, CB, TH, US, BIRD & SONS","AIR TRANSPORTATION, MILITARY AIRCRAFT, CONTRACTS, MILITARY LOGISTICS,  GOVERNMENT REACTIONS, POLITICAL SITUATION",SECRET
98,odbc://SAS_1970s/dbo.SAS_Docs/1402338,: RETENTION MIDDLE EAST FORCE IN BAHRAIN - APPEARANCES SECDEF FOR ISA,MANAMA,STATE,31-Aug-74,,"MARR, BA, US","AGREEMENT DRAFT, MILITARY BASES",CONFIDENTIAL
